==============================
Date/Time: 27-10-2021 22-35-18
==============================

==============================
Date/Time: 27-10-2021 22-37-05
==============================

==============================
Date/Time: 27-10-2021 22-44-56
==============================

==============================
Date/Time: 27-10-2021 22-45-11
==============================
RPM:   2303.7	Δt: 26.045
RPM:   600.67	Δt: 99.889
RPM:   1024.8	Δt: 58.55
RPM:   1185.3	Δt: 50.619
RPM:   1296.7	Δt: 46.271
RPM:   1338.1	Δt: 44.84
RPM:   1400.2	Δt: 42.851
RPM:   1405.2	Δt: 42.698

==============================
Date/Time: 27-10-2021 22-46-56
==============================
RPM:   499.18	Δt: 120.197
RPM:   984.87	Δt: 60.922
RPM:   1189.6	Δt: 50.436
RPM:   1283.4	Δt: 46.75
RPM:   1349.8	Δt: 44.451
RPM:   1393.1	Δt: 43.068
RPM:   1417.6	Δt: 42.324
RPM:   1437.4	Δt: 41.743
RPM:   1434.3	Δt: 41.831
RPM:   1491.9	Δt: 40.216
RPM:   1467.7	Δt: 40.879
RPM:   1478.3	Δt: 40.587
RPM:     1476	Δt: 40.65
RPM:     1477	Δt: 40.623
RPM:   1449.3	Δt: 41.399
RPM:     1497	Δt: 40.08
RPM:   1505.4	Δt: 39.856
RPM:   1579.3	Δt: 37.991
RPM:   1631.4	Δt: 36.778
RPM:   1635.9	Δt: 36.677
RPM:   1675.5	Δt: 35.81
RPM:   1663.9	Δt: 36.059
RPM:   1748.4	Δt: 34.317
RPM:   1717.3	Δt: 34.938
RPM:   1741.2	Δt: 34.459
RPM:   1738.2	Δt: 34.519
RPM:   1730.6	Δt: 34.67
RPM:   1733.9	Δt: 34.605

==============================
Date/Time: 28-10-2021 16-53-25
==============================
RPM:      533	Δt: 112.571
RPM:    977.2	Δt: 61.4
RPM:   1171.1	Δt: 51.232
RPM:   1274.8	Δt: 47.067
RPM:   1340.8	Δt: 44.748
RPM:   1383.9	Δt: 43.356
RPM:   1416.4	Δt: 42.361
RPM:   1433.8	Δt: 41.846
RPM:   1445.3	Δt: 41.513
RPM:   1458.2	Δt: 41.146
RPM:   1465.9	Δt: 40.931
RPM:   1467.4	Δt: 40.888
RPM:   1469.1	Δt: 40.84
RPM:   1472.8	Δt: 40.74
RPM:   1471.4	Δt: 40.778
RPM:   1479.4	Δt: 40.557
RPM:   1504.7	Δt: 39.875
RPM:   1576.8	Δt: 38.052
RPM:     1622	Δt: 36.991
RPM:   1657.2	Δt: 36.205
RPM:   1680.6	Δt: 35.702
RPM:     1694	Δt: 35.42
RPM:   1712.4	Δt: 35.038
RPM:   1710.8	Δt: 35.072
RPM:   1718.9	Δt: 34.907
RPM:   1720.4	Δt: 34.876
RPM:   1725.4	Δt: 34.775
RPM:   1727.2	Δt: 34.738
RPM:   1726.4	Δt: 34.755
RPM:   1732.4	Δt: 34.634
RPM:     1729	Δt: 34.703
RPM:   1733.7	Δt: 34.609
RPM:   1730.8	Δt: 34.666
RPM:   1731.9	Δt: 34.645

==============================
Date/Time: 28-10-2021 16-54-48
==============================
RPM:   486.12	Δt: 123.426
