==============================
Date/Time: 27-10-2021 22-35-18
==============================

==============================
Date/Time: 27-10-2021 22-37-05
==============================

==============================
Date/Time: 27-10-2021 22-44-56
==============================

==============================
Date/Time: 27-10-2021 22-45-11
==============================
E(t):   80.239	Δt: 764
E(t):   367.15	Δt: 752
E(t):   604.48	Δt: 751
E(t):   840.98	Δt: 751
E(t):   1176.8	Δt: 751
E(t):   877.99	Δt: 752
E(t):   617.08	Δt: 751
E(t):   347.64	Δt: 750

==============================
Date/Time: 27-10-2021 22-46-56
==============================
E(t):    49.31	Δt: 774
E(t):   348.35	Δt: 751
E(t):   589.59	Δt: 751
E(t):   909.02	Δt: 751
E(t):   1087.1	Δt: 752
E(t):   897.71	Δt: 751
E(t):   640.68	Δt: 752
E(t):   381.31	Δt: 751
E(t):   101.65	Δt: 752
E(t):  -187.71	Δt: 751
E(t):  -457.39	Δt: 752
E(t):  -735.98	Δt: 752
E(t):  -994.13	Δt: 751
E(t):  -736.08	Δt: 752
E(t):  -462.57	Δt: 751
E(t):  -178.75	Δt: 753
E(t):   108.14	Δt: 752
E(t):      353	Δt: 752
E(t):   629.01	Δt: 751
E(t):   941.92	Δt: 750
E(t):   1126.6	Δt: 752
E(t):   828.91	Δt: 752
E(t):   596.21	Δt: 751
E(t):   379.68	Δt: 750
E(t):   93.578	Δt: 752
E(t):  -180.46	Δt: 751
E(t):  -455.27	Δt: 752
E(t):  -730.83	Δt: 752

==============================
Date/Time: 28-10-2021 16-53-25
==============================
E(t):   79.399	Δt: 772
E(t):    331.2	Δt: 750
E(t):   594.61	Δt: 750
E(t):   865.26	Δt: 750
E(t):   1129.9	Δt: 750
E(t):    872.3	Δt: 750
E(t):   594.61	Δt: 750
E(t):   355.41	Δt: 750
E(t):   78.087	Δt: 750
E(t):  -190.71	Δt: 750
E(t):  -462.82	Δt: 750
E(t):  -745.44	Δt: 750
E(t):  -1000.4	Δt: 750
E(t):  -743.19	Δt: 750
E(t):  -475.02	Δt: 750
E(t):  -198.58	Δt: 750
E(t):   67.423	Δt: 750
E(t):   325.48	Δt: 750
E(t):   569.47	Δt: 750
E(t):   834.22	Δt: 750
E(t):   1103.8	Δt: 750
E(t):   842.91	Δt: 750
E(t):   583.67	Δt: 750
E(t):   339.79	Δt: 750
E(t):   69.688	Δt: 750
E(t):   -190.2	Δt: 750
E(t):  -463.52	Δt: 750
E(t):  -740.09	Δt: 750
E(t):  -997.54	Δt: 750
E(t):   -743.8	Δt: 750
E(t):  -468.29	Δt: 750
E(t):  -196.61	Δt: 750
E(t):   78.342	Δt: 750
E(t):   346.67	Δt: 750

==============================
Date/Time: 28-10-2021 16-54-48
==============================
E(t):   83.863	Δt: 782
E(t):   355.67	Δt: 750
E(t):   598.33	Δt: 750
E(t):   880.68	Δt: 750
E(t):   1140.4	Δt: 750
E(t):   874.11	Δt: 750
E(t):   604.81	Δt: 750
E(t):   356.08	Δt: 750
E(t):   85.112	Δt: 750
E(t):  -183.23	Δt: 750
E(t):  -459.44	Δt: 750
E(t):  -734.81	Δt: 750
E(t):  -992.39	Δt: 750
E(t):  -735.05	Δt: 750
E(t):  -459.15	Δt: 750
E(t):  -185.47	Δt: 750
E(t):   85.958	Δt: 750
E(t):   358.09	Δt: 750
E(t):   600.53	Δt: 750
E(t):   876.95	Δt: 750

==============================
Date/Time: 28-10-2021 18-26-20
==============================
E(t):     1400	Δt: 72
E(t):   675.71	Δt: 50
E(t):   675.71	Δt: 50
E(t):   829.01	Δt: 50
E(t):  -776.36	Δt: 50
E(t):   -859.8	Δt: 50
E(t):  -787.31	Δt: 50
E(t):  -1457.4	Δt: 50
E(t):  -1282.8	Δt: 50
E(t):  -93.949	Δt: 50
E(t):  -44.113	Δt: 50
E(t):  -416.97	Δt: 50
E(t):   112.67	Δt: 50
E(t):     1400	Δt: 50
E(t):   747.42	Δt: 50
E(t):  -634.52	Δt: 50
E(t):  -477.11	Δt: 50
E(t):   149.95	Δt: 50
E(t):   149.19	Δt: 50
E(t):  -498.55	Δt: 50
E(t):  -244.42	Δt: 50
E(t):   264.82	Δt: 50
E(t):   624.91	Δt: 50
E(t):   -152.8	Δt: 50
E(t):  -716.18	Δt: 50
E(t):  -104.51	Δt: 50
E(t):   533.14	Δt: 50
E(t):    410.6	Δt: 50
E(t):  -414.94	Δt: 50
E(t):  -507.24	Δt: 50
E(t):  -62.309	Δt: 50
E(t):   571.88	Δt: 50
E(t):   579.27	Δt: 50
E(t):  -513.02	Δt: 50
E(t):  -857.42	Δt: 50
E(t):  -243.25	Δt: 50
E(t):   377.96	Δt: 50
E(t):   603.89	Δt: 50
E(t):  -168.67	Δt: 50
E(t):  -645.06	Δt: 50
E(t):  -153.24	Δt: 50
E(t):   475.81	Δt: 50
E(t):    622.7	Δt: 50
E(t):  -366.16	Δt: 50
E(t):  -631.56	Δt: 50
E(t):   -17.97	Δt: 50
E(t):     1400	Δt: 50
E(t):   631.71	Δt: 50
E(t):  -425.98	Δt: 50
E(t):  -455.69	Δt: 50
E(t):   79.955	Δt: 50
E(t):   473.37	Δt: 50
E(t):  -920.81	Δt: 50
E(t):   -813.7	Δt: 50
E(t):  -194.01	Δt: 50
E(t):   432.62	Δt: 50
E(t):   432.62	Δt: 50
E(t):   517.58	Δt: 50
E(t):   429.74	Δt: 50
E(t):  -660.09	Δt: 50
E(t):  -589.72	Δt: 50
E(t):   34.595	Δt: 50
E(t):   34.595	Δt: 50
E(t):   571.77	Δt: 50
E(t):   699.94	Δt: 50
E(t):  -939.27	Δt: 50
E(t):  -940.46	Δt: 50
E(t):  -329.11	Δt: 50
E(t):   312.53	Δt: 50
E(t):     1400	Δt: 50
E(t):   867.14	Δt: 50
E(t):   -776.2	Δt: 50
E(t):  -995.97	Δt: 50
E(t):  -419.62	Δt: 50
E(t):    216.4	Δt: 50
E(t):    216.4	Δt: 50
E(t):   847.68	Δt: 50
E(t):   847.68	Δt: 50
E(t):  -514.73	Δt: 50
E(t):  -595.68	Δt: 50
E(t):   35.557	Δt: 50
E(t):   278.02	Δt: 50
E(t):  -759.67	Δt: 50
E(t):   -734.4	Δt: 50
E(t):  -103.87	Δt: 50
E(t):   554.31	Δt: 50
E(t):   554.31	Δt: 50
E(t):   45.995	Δt: 50
E(t):     1400	Δt: 50
E(t):  -26.127	Δt: 50
E(t):  -223.68	Δt: 50
E(t):   432.76	Δt: 50
E(t):   187.88	Δt: 50
E(t):  -1124.6	Δt: 50
E(t):  -1091.7	Δt: 50
E(t):  -462.02	Δt: 50
E(t):   187.29	Δt: 50
E(t):     1400	Δt: 50
E(t):   857.34	Δt: 50
E(t):  -696.29	Δt: 50
E(t):   -508.4	Δt: 50
E(t):   135.11	Δt: 50
E(t):   120.85	Δt: 50
E(t):  -544.83	Δt: 50
E(t):  -335.16	Δt: 50
E(t):   154.72	Δt: 50
E(t):   689.86	Δt: 50
E(t):   205.42	Δt: 50
E(t):  -502.17	Δt: 50
E(t):  -4.5602	Δt: 50
E(t):   518.17	Δt: 50
E(t):  -667.25	Δt: 50
E(t):  -698.05	Δt: 50
E(t):  -58.612	Δt: 50
E(t):   614.04	Δt: 50
E(t):   614.04	Δt: 50
E(t):  -625.38	Δt: 50
E(t):  -845.68	Δt: 50
E(t):  -219.52	Δt: 50
E(t):    437.4	Δt: 50
E(t):    437.4	Δt: 50
E(t):   620.49	Δt: 50
E(t):   536.43	Δt: 50
E(t):  -885.19	Δt: 50
E(t):  -815.82	Δt: 50
E(t):   -190.2	Δt: 50
E(t):   473.19	Δt: 50
E(t):   473.19	Δt: 50
E(t):   127.25	Δt: 50
E(t):     1400	Δt: 50
E(t):   573.61	Δt: 50
E(t):  -823.79	Δt: 50
E(t):  -902.38	Δt: 50
E(t):  -251.35	Δt: 50
E(t):   333.26	Δt: 50
E(t):   268.48	Δt: 50
E(t):  -721.49	Δt: 50
E(t):  -695.63	Δt: 50
E(t):  -125.24	Δt: 50
E(t):   546.77	Δt: 50
E(t):   577.81	Δt: 50
E(t):   -428.1	Δt: 50
E(t):  -329.21	Δt: 50
E(t):   328.46	Δt: 50
E(t):   162.84	Δt: 50
E(t):  -211.04	Δt: 50
E(t):   447.48	Δt: 50
E(t):   245.58	Δt: 50
E(t):  -200.94	Δt: 50
E(t):   461.56	Δt: 50
E(t):   208.15	Δt: 50
E(t):  -436.21	Δt: 50
E(t):  -360.46	Δt: 50
E(t):   178.18	Δt: 50
E(t):   536.57	Δt: 50
E(t):  -943.38	Δt: 50
E(t):  -833.14	Δt: 50
E(t):  -210.65	Δt: 50
E(t):    467.8	Δt: 50
E(t):    467.8	Δt: 50
E(t):   479.25	Δt: 50
E(t):    429.2	Δt: 50
E(t):  -444.68	Δt: 50
E(t):  -589.79	Δt: 50
E(t):    21.45	Δt: 50
E(t):   588.36	Δt: 50
E(t):   337.38	Δt: 50
E(t):  -199.23	Δt: 50
E(t):   97.662	Δt: 50
E(t):   332.23	Δt: 50
E(t):  -900.44	Δt: 50
E(t):  -1041.9	Δt: 50
E(t):  -246.63	Δt: 50
E(t):   353.26	Δt: 50
E(t):     1400	Δt: 50
E(t):   830.75	Δt: 50
E(t):   830.75	Δt: 50
E(t):   31.324	Δt: 50
E(t):  -251.48	Δt: 50

==============================
Date/Time: 28-10-2021 18-26-49
==============================
E(t):     1400	Δt: 72
E(t):      887	Δt: 50
E(t):      887	Δt: 50
E(t):   714.55	Δt: 50
E(t):   247.86	Δt: 50
E(t):  -27.314	Δt: 50
E(t):  -485.25	Δt: 50
E(t):  -915.98	Δt: 50
E(t):  -1400.5	Δt: 50
E(t):  -1310.3	Δt: 50
E(t):  -928.92	Δt: 50
E(t):  -416.09	Δt: 50
E(t):  -137.32	Δt: 50
E(t):   189.08	Δt: 50
E(t):    444.8	Δt: 50
E(t):    300.8	Δt: 50
E(t):   74.326	Δt: 50
E(t):   52.806	Δt: 50
E(t):      340	Δt: 50
E(t):   301.36	Δt: 50
E(t):   86.141	Δt: 50
E(t):  -137.91	Δt: 50
E(t):  -347.79	Δt: 50
E(t):   32.634	Δt: 50
E(t):   161.35	Δt: 50
E(t):  0.90942	Δt: 50
E(t):  -174.22	Δt: 50
E(t):  -135.82	Δt: 50
E(t):   21.957	Δt: 50
E(t):   110.54	Δt: 50
E(t):  -16.732	Δt: 50
E(t):  -139.57	Δt: 50
E(t):  -128.62	Δt: 50
E(t):   65.451	Δt: 50
E(t):   255.64	Δt: 50
E(t):   318.31	Δt: 50
E(t):   185.43	Δt: 50
E(t):  -155.21	Δt: 50
E(t):  -339.08	Δt: 50
E(t):  -264.22	Δt: 50
E(t):   -23.42	Δt: 50
E(t):    222.1	Δt: 50
E(t):   305.37	Δt: 50
E(t):    22.21	Δt: 50
E(t):  -91.313	Δt: 50
E(t):  -98.614	Δt: 50
E(t):  -12.662	Δt: 50
E(t):  -150.75	Δt: 50
E(t):  -196.17	Δt: 50
E(t):   -28.81	Δt: 50
E(t):   222.33	Δt: 50
E(t):   92.041	Δt: 50
E(t):  -32.836	Δt: 50
E(t):  -134.25	Δt: 50
E(t):   139.87	Δt: 50
E(t):   331.51	Δt: 50
E(t):   199.04	Δt: 50
E(t):   87.521	Δt: 50
E(t):    -26.5	Δt: 50
E(t):   -142.3	Δt: 50
E(t):  -381.05	Δt: 50
E(t):  -437.62	Δt: 50
E(t):  -57.868	Δt: 50
E(t):   77.161	Δt: 50
E(t):  -107.35	Δt: 50
E(t):  -237.29	Δt: 50
E(t):  -139.96	Δt: 50
E(t):   223.16	Δt: 50
